               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,            0.013056,           0.0034192,                   0,             0.97575,             0.96649,             0.98739,             0.82202,            0.014832,           0.0021724,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.012888,           0.0034378,                   0,             0.97438,             0.96649,             0.98574,             0.82158,            0.014622,           0.0021797,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.012918,           0.0034035,                   0,             0.97981,             0.96113,             0.98975,             0.81969,            0.014655,           0.0021495,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.012635,           0.0032117,                   0,             0.97178,             0.96926,             0.98994,             0.81831,             0.01478,           0.0021559,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.012398,           0.0033091,                   0,             0.97666,             0.96783,             0.98978,             0.82235,            0.014808,           0.0021549,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.012753,           0.0033172,                   0,             0.98191,             0.95979,             0.98943,             0.81957,            0.014875,           0.0021479,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.012426,           0.0032293,                   0,              0.9776,             0.96649,             0.99021,             0.82429,            0.014879,           0.0021355,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.012361,            0.003237,                   0,             0.97353,             0.96649,             0.98924,             0.82201,            0.014802,           0.0021479,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.012241,           0.0032959,                   0,             0.97825,             0.96456,             0.98797,             0.82396,            0.014661,           0.0021226,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.012487,           0.0033134,                   0,             0.97056,             0.97211,             0.98727,             0.82374,            0.014779,           0.0021421,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.011836,           0.0030939,                   0,             0.97308,              0.9692,             0.98634,             0.82523,            0.014686,           0.0021484,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.012038,           0.0032122,                   0,             0.97826,             0.96501,             0.98654,              0.8243,            0.014785,           0.0021472,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.012345,           0.0032187,                   0,             0.97956,             0.96349,             0.98781,             0.82678,            0.014566,            0.002127,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.011884,           0.0032047,                   0,               0.977,             0.96809,             0.98688,             0.82383,            0.014612,           0.0021368,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.011983,           0.0030255,                   0,             0.97424,             0.96917,             0.98727,             0.82521,            0.014584,           0.0021316,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.011762,           0.0031553,                   0,             0.97648,             0.96783,             0.98907,             0.82599,            0.014569,           0.0021326,                   0,            0.000298,            0.000298,            0.000298
